Company_ID,Company_Name,Industry,Quarter,Revenue (USD),Profit (USD),Expenses (USD),Profit Margin (%),Debt (USD),Assets (USD),ROI (%),Stock Price (USD)
1,Beta Inc.,Transportation,Q1-2023,9578184,1420534,8157650,14.83,4358885,10760947,13.2,79.65
1,Beta Inc.,Transportation,Q2-2023,5252563,2593819,2658744,49.38,4358885,10760947,24.1,107.49
1,Beta Inc.,Transportation,Q3-2023,8141525,1869049,6272476,22.96,4358885,10760947,17.37,57.13
1,Beta Inc.,Transportation,Q4-2023,9836312,4053522,5782790,41.21,4358885,10760947,37.67,63.57
1,Beta Inc.,Transportation,Q1-2024,6123827,2228414,3895413,36.39,4358885,10760947,20.71,70.28
2,Kappa Technologies,Finance,Q1-2023,6897217,1497833,5399384,21.72,2461035,17091432,8.76,102.43
2,Kappa Technologies,Finance,Q2-2023,6310904,2805350,3505554,44.45,2461035,17091432,16.41,95.19
2,Kappa Technologies,Finance,Q3-2023,3108829,352495,2756334,11.34,2461035,17091432,2.06,162.17
2,Kappa Technologies,Finance,Q4-2023,3295086,1024322,2270764,31.09,2461035,17091432,5.99,79.27
2,Kappa Technologies,Finance,Q1-2024,8253943,3803060,4450883,46.08,2461035,17091432,22.25,152.07
3,Theta Holdings,Manufacturing,Q1-2023,5376226,1598550,3777676,29.73,6105497,21557864,7.42,194.52
3,Theta Holdings,Manufacturing,Q2-2023,8122922,3373274,4749648,41.53,6105497,21557864,15.65,184.25
3,Theta Holdings,Manufacturing,Q3-2023,2535232,1017769,1517463,40.15,6105497,21557864,4.72,57.27
3,Theta Holdings,Manufacturing,Q4-2023,3957438,745811,3211627,18.85,6105497,21557864,3.46,81.27
3,Theta Holdings,Manufacturing,Q1-2024,3822819,847026,2975793,22.16,6105497,21557864,3.93,51.54
4,Zeta Enterprises,Healthcare,Q1-2023,2142573,242475,1900098,11.32,1291013,17792234,1.36,67.7
4,Zeta Enterprises,Healthcare,Q2-2023,5386352,2245546,3140806,41.69,1291013,17792234,12.62,61.85
4,Zeta Enterprises,Healthcare,Q3-2023,4159403,759177,3400226,18.25,1291013,17792234,4.27,194.13
4,Zeta Enterprises,Healthcare,Q4-2023,7802828,2737442,5065386,35.08,1291013,17792234,15.39,187.5
4,Zeta Enterprises,Healthcare,Q1-2024,8055467,1167061,6888406,14.49,1291013,17792234,6.56,104.63
5,Gamma Ltd.,Manufacturing,Q1-2023,8565241,2396987,6168254,27.99,8947191,10124244,23.68,88.09
5,Gamma Ltd.,Manufacturing,Q2-2023,7845037,3532992,4312045,45.03,8947191,10124244,34.9,183.78
5,Gamma Ltd.,Manufacturing,Q3-2023,8962389,4133164,4829225,46.12,8947191,10124244,40.82,143.21
5,Gamma Ltd.,Manufacturing,Q4-2023,9054682,2033773,7020909,22.46,8947191,10124244,20.09,160.26
5,Gamma Ltd.,Manufacturing,Q1-2024,4502716,2225482,2277234,49.43,8947191,10124244,21.98,121.56
6,Theta Holdings,Energy,Q1-2023,4438404,1107273,3331131,24.95,7878260,7470992,14.82,77.8
6,Theta Holdings,Energy,Q2-2023,7016459,1490902,5525557,21.25,7878260,7470992,19.96,145.21
6,Theta Holdings,Energy,Q3-2023,8546679,1858525,6688154,21.75,7878260,7470992,24.88,163.85
6,Theta Holdings,Energy,Q4-2023,4867835,2032491,2835344,41.75,7878260,7470992,27.21,74.87
6,Theta Holdings,Energy,Q1-2024,9903267,3049656,6853611,30.79,7878260,7470992,40.82,71.6
7,Delta Solutions,Healthcare,Q1-2023,4862575,1381850,3480725,28.42,4333347,28233881,4.89,119.21
7,Delta Solutions,Healthcare,Q2-2023,4400965,843892,3557073,19.18,4333347,28233881,2.99,69.83
7,Delta Solutions,Healthcare,Q3-2023,4226018,1986252,2239766,47.0,4333347,28233881,7.03,82.16
7,Delta Solutions,Healthcare,Q4-2023,3029900,993282,2036618,32.78,4333347,28233881,3.52,197.08
7,Delta Solutions,Healthcare,Q1-2024,3466030,894854,2571176,25.82,4333347,28233881,3.17,191.89
8,Beta Inc.,Tech,Q1-2023,6677881,3273425,3404456,49.02,3360184,24878764,13.16,189.51
8,Beta Inc.,Tech,Q2-2023,3450633,711570,2739063,20.62,3360184,24878764,2.86,137.22
8,Beta Inc.,Tech,Q3-2023,2588213,1228732,1359481,47.47,3360184,24878764,4.94,74.17
8,Beta Inc.,Tech,Q4-2023,6523266,2770900,3752366,42.48,3360184,24878764,11.14,60.92
8,Beta Inc.,Tech,Q1-2024,5344993,1382083,3962910,25.86,3360184,24878764,5.56,89.41
9,Zeta Enterprises,Energy,Q1-2023,6577852,2941854,3635998,44.72,8069524,24538883,11.99,62.4
9,Zeta Enterprises,Energy,Q2-2023,8163259,2701108,5462151,33.09,8069524,24538883,11.01,61.39
9,Zeta Enterprises,Energy,Q3-2023,5674494,1573602,4100892,27.73,8069524,24538883,6.41,193.35
9,Zeta Enterprises,Energy,Q4-2023,5740746,2748566,2992180,47.88,8069524,24538883,11.2,159.39
